Site,Latitude,Longitude,Elev,h,z_ref
DalyUncleared,-14.159283,131.388,38,14,21
HowardSprings,-12.49428,131.15231,75,12,21
Bondville,40.0061,-88.29186667,300,3,8
Griffin,56.60655278,-3.796819444,340,9,13
Hainich,51.07926667,10.452,430,33,42
Hesse,48.67421667,7.064616667,300,13,22
Howland,45.20407,-68.74027778,60,20,26.5
MerBleue,45.4094,-75.52,70,0.25,3.2
Mize,29.7648,-82.24481667,50,5,18.5
MorganMonroe,39.32315,-86.413139,275,27,48
NiwotRidge,40.03287778,-105.5464028,3050,11.5,26
NSAOldBlackSpruce,55.87962,-98.48081,259,9.1,31
SantaremKm83,-3.01802927,-54.97143509,100,40,64
Tonzi,38.4316,-120.9659833,117,10.1,23
Tumbarumba,-35.65572222,148.1520833,1200,40,70
VirginiaPark,-19.88333333,146.5538889,200,8,27
WalnutRiver,37.5208333,-96.855,408,0.4,2.1
FoggDam,-12.542533,131.3068833,4,1,7
Kendall,31.736527,-109.94188,1531,0.5,6.4
SSAOldBlackSpruce,53.98717,-105.11779,629,7.2,25
